,uid,majority_label,label_dist,label_count,entropy,old_label,old_labels,premise,hypothesis,n,e,c,ground_truth
3261712960.jpg#0r1e,3261712960.jpg#0r1e,e,"[0.49, 0.36, 0.15]","[49, 36, 15]",1.4454417762977625,n,"['entailment', 'neutral', 'neutral', 'entailment', 'neutral']","At an outdoor event in an Asian-themed area, a crowd congregates as one person in a yellow Chinese dragon costume confronts the camera.",A crowd is in front of a camera,36.0,49.0,15.0,e
5964395383.jpg#1r1n,5964395383.jpg#1r1n,n,"[0.08, 0.87, 0.05]","[8, 87, 5]",0.682398943641963,n,"['neutral', 'neutral', 'entailment', 'entailment', 'neutral']",A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,a blond man laughs while doing laundry,87.0,8.0,5.0,n
2915400809.jpg#0r1n,2915400809.jpg#0r1n,n,"[0.1, 0.9, 0.0]","[10, 90, 0]",0.46899559358928117,n,"['neutral', 'entailment', 'entailment', 'neutral', 'neutral']",An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake.,An Indian woman is doing laundry for her son in the lake.,90.0,10.0,0.0,n
6291644661.jpg#2r1e,6291644661.jpg#2r1e,e,"[0.82, 0.18, 0.0]","[82, 18, 0]",0.6800770457282799,e,"['entailment', 'neutral', 'entailment', 'neutral', 'entailment']",A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him.,The man stumbles stumbles in rollerskates.,18.0,82.0,0.0,e
1257692349.jpg#2r1c,1257692349.jpg#2r1c,c,"[0.01, 0.43, 0.56]","[1, 43, 56]",1.0584435889005643,c,"['contradiction', 'neutral', 'contradiction', 'contradiction', 'entailment']",A group of onlookers glance at a person doing a strange trick on her head.,A boy does a card trick.,43.0,1.0,56.0,c
3168293517.jpg#2r1n,3168293517.jpg#2r1n,n,"[0.11, 0.87, 0.02]","[11, 87, 2]",0.6379578703362284,n,"['neutral', 'neutral', 'entailment', 'neutral', 'entailment']",A little boy in a blue shirt holding a toy.,Boy dressed in blue carrying toy to a toybox.,87.0,11.0,2.0,n
2537197415.jpg#3r1n,2537197415.jpg#3r1n,n,"[0.42, 0.58, 0.0]","[42, 58, 0]",0.9814538950336537,e,"['neutral', 'entailment', 'entailment', 'neutral', 'entailment']",A baby at the end of a slip and slide at a party,The baby is wet.,58.0,42.0,0.0,n
3208032657.jpg#2r1n,3208032657.jpg#2r1n,e,"[0.81, 0.18, 0.01]","[81, 18, 1]",0.7579911871785623,e,"['neutral', 'entailment', 'entailment', 'entailment', 'neutral']",A person powerwashing stairs leading down to a pool.,a worker cleans near the pool,18.0,81.0,1.0,n
4951185210.jpg#0r1e,4951185210.jpg#0r1e,e,"[0.89, 0.09, 0.02]","[89, 9, 2]",0.5751601860848226,e,"['entailment', 'neutral', 'entailment', 'neutral', 'entailment']","Two black little boys hanging over an upside down bicycle, one examining the pedal.",Children were looking at a bike.,9.0,89.0,2.0,e
4951185210.jpg#0r1n,4951185210.jpg#0r1n,n,"[0.08, 0.9, 0.02]","[8, 90, 2]",0.5411884030780175,n,"['neutral', 'neutral', 'neutral', 'entailment', 'entailment']","Two black little boys hanging over an upside down bicycle, one examining the pedal.",the children are outside.,90.0,8.0,2.0,n
4951185210.jpg#0r1c,4951185210.jpg#0r1c,c,"[0.02, 0.16, 0.82]","[2, 16, 82]",0.7706635459878962,c,"['contradiction', 'entailment', 'entailment', 'contradiction', 'contradiction']","Two black little boys hanging over an upside down bicycle, one examining the pedal.",Someone is riding a bike.,16.0,2.0,82.0,c
202029970.jpg#1r1e,202029970.jpg#1r1e,e,"[0.68, 0.31, 0.01]","[68, 31, 1]",0.9685806015045626,e,"['entailment', 'entailment', 'neutral', 'neutral', 'entailment']",A group of people prepare hot air balloons for takeoff.,A group of people are outside.,31.0,68.0,1.0,e
428973409.jpg#4r1e,428973409.jpg#4r1e,n,"[0.36, 0.64, 0.0]","[36, 64, 0]",0.9426831892554923,n,"['entailment', 'entailment', 'neutral', 'neutral', 'neutral']",A group of young people with instruments are on stage.,People are playing music.,64.0,36.0,0.0,e
4762813376.jpg#0r1n,4762813376.jpg#0r1n,n,"[0.0, 0.73, 0.27]","[0, 73, 27]",0.8414646362081756,n,"['neutral', 'contradiction', 'neutral', 'contradiction', 'neutral']",A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The boy is outside and running from cops.,73.0,0.0,27.0,n
4762813376.jpg#0r1e,4762813376.jpg#0r1e,n,"[0.03, 0.9, 0.07]","[3, 90, 7]",0.5571246835123504,n,"['entailment', 'neutral', 'neutral', 'contradiction', 'neutral']",A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The young boy is completing a heist.,90.0,3.0,7.0,e
4762813376.jpg#0r1c,4762813376.jpg#0r1c,n,"[0.02, 0.86, 0.12]","[2, 86, 12]",0.6670730006443817,n,"['contradiction', 'neutral', 'neutral', 'contradiction', 'neutral']",A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt.,The bank has just been robbed.,86.0,2.0,12.0,c
193596775.jpg#3r1n,193596775.jpg#3r1n,n,"[0.04, 0.67, 0.29]","[4, 67, 29]",1.0907619435810212,n,"['neutral', 'neutral', 'neutral', 'contradiction', 'contradiction']",A woman is talking on the phone while standing next to a dog.,A woman is walking her dog.,67.0,4.0,29.0,n
3467843559.jpg#0r1c,3467843559.jpg#0r1c,n,"[0.01, 0.87, 0.12]","[1, 87, 12]",0.6082998482997923,n,"['contradiction', 'contradiction', 'neutral', 'neutral', 'neutral']",Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling.,The boys are all wearing yellow.,87.0,1.0,12.0,c
4837051771.jpg#2r1n,4837051771.jpg#2r1n,n,"[0.18, 0.8, 0.02]","[18, 80, 2]",0.8157272136052185,n,"['neutral', 'entailment', 'neutral', 'neutral', 'entailment']",A small ice cream stand with two people standing near it.,Two people in line to buy icecream.,80.0,18.0,2.0,n
4639918324.jpg#3r1e,4639918324.jpg#3r1e,e,"[0.92, 0.07, 0.01]","[92, 7, 1]",0.4456643456582405,e,"['entailment', 'entailment', 'neutral', 'entailment', 'neutral']",Number 916 is hoping that he is going to win the race.,A person is competing in a race.,7.0,92.0,1.0,e
3690358925.jpg#3r1e,3690358925.jpg#3r1e,n,"[0.3, 0.69, 0.01]","[30, 69, 1]",0.9569071359152326,e,"['entailment', 'neutral', 'neutral', 'entailment', 'entailment']",Girl plays with colorful letters on the floor.,The girl is having fun learning her letters.,69.0,30.0,1.0,e
1307094208.jpg#4r1n,1307094208.jpg#4r1n,n,"[0.06, 0.81, 0.13]","[6, 81, 13]",0.8724227740365672,n,"['neutral', 'neutral', 'contradiction', 'contradiction', 'neutral']",A man wandering in the desert as the clouds roll in.,A man and a camel wonder in the desert.,81.0,6.0,13.0,n
4717112737.jpg#3r1n,4717112737.jpg#3r1n,n,"[0.0, 0.69, 0.31]","[0, 69, 31]",0.8931734583778568,c,"['neutral', 'contradiction', 'contradiction', 'neutral', 'contradiction']",A lady with bright orange hair walking in a crowd.,The street performer is entertaining the tourists.,69.0,0.0,31.0,n
4956464881.jpg#4r1e,4956464881.jpg#4r1e,e,"[1.0, 0.0, 0.0]","[100, 0, 0]",0.0,e,"['entailment', 'neutral', 'neutral', 'entailment', 'entailment']",A man running a marathon talks to his friend.,There is a man running.,0.0,100.0,0.0,e
4869280869.jpg#0r1e,4869280869.jpg#0r1e,e,"[0.97, 0.03, 0.0]","[97, 3, 0]",0.1943918578315762,e,"['entailment', 'contradiction', 'contradiction', 'entailment', 'entailment']",A lot of people walking outside a row of shops with an older man with his hands in his pocket is closer to the camera.,A lot of people walking outside a row of shops with a man with hands in his pockets.,3.0,97.0,0.0,e
179829865.jpg#3r1e,179829865.jpg#3r1e,n,"[0.13, 0.86, 0.01]","[13, 86, 1]",0.6362113373725784,n,"['entailment', 'neutral', 'neutral', 'neutral', 'contradiction']",A man waterskies with a life jacket.,The man is enjoying the ocean.,86.0,13.0,1.0,e
4559327596.jpg#3r1e,4559327596.jpg#3r1e,n,"[0.46, 0.53, 0.01]","[46, 53, 1]",1.0672198490700033,n,"['entailment', 'neutral', 'entailment', 'neutral', 'neutral']",A group of people sit on benches at a park outside a building.,The people sit together.,53.0,46.0,1.0,e
7043828775.jpg#1r1n,7043828775.jpg#1r1n,n,"[0.0, 0.66, 0.34]","[0, 66, 34]",0.92481870497303,n,"['neutral', 'neutral', 'contradiction', 'neutral', 'contradiction']",An older gentleman enjoys a scenic stroll through the countryside.,An old man searches for a good place to die.,66.0,0.0,34.0,n
3271178748.jpg#0r1n,3271178748.jpg#0r1n,e,"[0.36, 0.33, 0.31]","[36, 33, 31]",1.5822322736472711,c,"['neutral', 'contradiction', 'neutral', 'contradiction', 'contradiction']",Number 13 kicks a soccer ball towards the goal during children's soccer game.,A player passing the ball in a soccer game.,33.0,36.0,31.0,n
5217397101.jpg#2r1e,5217397101.jpg#2r1e,n,"[0.39, 0.61, 0.0]","[39, 61, 0]",0.9647995485050873,n,"['entailment', 'neutral', 'entailment', 'neutral', 'neutral']",A nun uses her camera to take a photo of an interesting site.,A nun taking photos of a interesting site outside.,61.0,39.0,0.0,e
164380865.jpg#3r1n,164380865.jpg#3r1n,e,"[0.66, 0.33, 0.01]","[66, 33, 1]",0.9899060116098558,e,"['neutral', 'entailment', 'entailment', 'neutral', 'entailment']",This is the image of two Asian men squatting near a mop-pad.,Two young asian men are squatting.,33.0,66.0,1.0,n
4830075359.jpg#2r1e,4830075359.jpg#2r1e,e,"[0.83, 0.17, 0.0]","[83, 17, 0]",0.6577047787442195,n,"['entailment', 'neutral', 'entailment', 'neutral', 'neutral']",An older gentleman speaking at a podium.,A man giving a speech,17.0,83.0,0.0,e
2673209105.jpg#1r1e,2673209105.jpg#1r1e,e,"[0.67, 0.32, 0.01]","[67, 32, 1]",0.9795764321680173,e,"['entailment', 'entailment', 'entailment', 'neutral', 'neutral']",A young barefoot girl in a pink dress is jumping outside.,A child is playing.,32.0,67.0,1.0,e
74736854.jpg#0r1n,74736854.jpg#0r1n,e,"[0.62, 0.31, 0.07]","[62, 31, 7]",1.2199387765708984,e,"['neutral', 'entailment', 'entailment', 'entailment', 'contradiction']",A couple bows their head as a man in a decorative robe reads from a scroll in Asia with a black late model station wagon in the background.,A light black late model station wagon is in the background.,31.0,62.0,7.0,n
2637936161.jpg#4r1n,2637936161.jpg#4r1n,n,"[0.3, 0.59, 0.11]","[30, 59, 11]",1.32049213391858,n,"['neutral', 'entailment', 'entailment', 'neutral', 'neutral']",A boy looks surly as his father looks at the camera.,a younger boy looks at his father,59.0,30.0,11.0,n
985067019.jpg#1r1n,985067019.jpg#1r1n,c,"[0.16, 0.3, 0.54]","[16, 30, 54]",1.4241497599238961,n,"['neutral', 'entailment', 'neutral', 'neutral', 'contradiction']",A boy in red slides down an inflatable ride.,A boy rolls around an inflatable ride.,30.0,16.0,54.0,n
4705854511.jpg#3r1n,4705854511.jpg#3r1n,n,"[0.05, 0.95, 0.0]","[5, 95, 0]",0.2863969571159562,n,"['neutral', 'contradiction', 'neutral', 'entailment', 'neutral']",A man is reading a newspaper in a car dealership.,The man is waiting for his car to be serviced.,95.0,5.0,0.0,n
6083302879.jpg#0r1n,6083302879.jpg#0r1n,n,"[0.02, 0.84, 0.14]","[2, 84, 14]",0.7212798655525017,n,"['neutral', 'neutral', 'contradiction', 'contradiction', 'neutral']","Two male police officers on patrol, wearing the normal gear and bright green reflective shirts.",The two officers have gotten a call about a fight.,84.0,2.0,14.0,n
6083302879.jpg#0r1c,6083302879.jpg#0r1c,n,"[0.0, 0.66, 0.34]","[0, 66, 34]",0.92481870497303,c,"['contradiction', 'contradiction', 'neutral', 'neutral', 'contradiction']","Two male police officers on patrol, wearing the normal gear and bright green reflective shirts.",The officers have shot an unarmed black man and will not go to prison for it.,66.0,0.0,34.0,c
4429760815.jpg#3r1e,4429760815.jpg#3r1e,e,"[0.8, 0.2, 0.0]","[80, 20, 0]",0.7219280948873623,e,"['entailment', 'neutral', 'entailment', 'neutral', 'entailment']",two people are waiting for a train at a station.,They expect a train to arrive eventually.,20.0,80.0,0.0,e
4429760815.jpg#3r1c,4429760815.jpg#3r1c,c,"[0.02, 0.03, 0.95]","[2, 3, 95]",0.3349444868386896,c,"['contradiction', 'entailment', 'neutral', 'contradiction', 'contradiction']",two people are waiting for a train at a station.,They are both waiting for a bus.,3.0,2.0,95.0,c
7421349720.jpg#1r1n,7421349720.jpg#1r1n,e,"[0.68, 0.3, 0.02]","[68, 30, 2]",1.0123142790419384,n,"['neutral', 'entailment', 'entailment', 'neutral', 'neutral']",A goalie in white runs for an approaching ball while the opponent in red who kicked it waits.,The goalie is running out to catch the ball before it passes him into the goal.,30.0,68.0,2.0,n
4265806100.jpg#0r1n,4265806100.jpg#0r1n,n,"[0.0, 0.77, 0.23]","[0, 77, 23]",0.7780113035465377,c,"['neutral', 'contradiction', 'contradiction', 'contradiction', 'neutral']","Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have lost their pants.",There are women on the subway.,77.0,0.0,23.0,n
4265806100.jpg#0r1e,4265806100.jpg#0r1e,e,"[0.93, 0.06, 0.01]","[93, 6, 1]",0.4073407454009861,e,"['entailment', 'entailment', 'entailment', 'neutral', 'neutral']","Two men sitting on a subway are reading, with coats and scarves on, but have seemed to have lost their pants.",There are people on the subway.,6.0,93.0,1.0,e
3552552910.jpg#0r1c,3552552910.jpg#0r1c,c,"[0.02, 0.41, 0.57]","[2, 41, 57]",1.1025125598074077,c,"['contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral']","Three elephants, each carrying a group of people, walking through the water.",The elephants are performing in a circus tent.,41.0,2.0,57.0,c
4916500021.jpg#1r1e,4916500021.jpg#1r1e,e,"[0.75, 0.23, 0.02]","[75, 23, 2]",0.911822922009701,e,"['entailment', 'entailment', 'entailment', 'neutral', 'neutral']",A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background.,There is a man and a boy outside.,23.0,75.0,2.0,e
3667788497.jpg#3r1n,3667788497.jpg#3r1n,n,"[0.12, 0.84, 0.04]","[12, 84, 4]",0.7641140545540274,n,"['neutral', 'neutral', 'entailment', 'neutral', 'entailment']",A young boy reaches for and touches the propeller of a vintage aircraft.,A young boy and his friend admire the vintage aircraft.,84.0,12.0,4.0,n
3667788497.jpg#3r1e,3667788497.jpg#3r1e,e,"[0.79, 0.21, 0.0]","[79, 21, 0]",0.7414827399312738,e,"['entailment', 'entailment', 'entailment', 'neutral', 'neutral']",A young boy reaches for and touches the propeller of a vintage aircraft.,A young boy and an airplane.,21.0,79.0,0.0,e
7595435150.jpg#4r1c,7595435150.jpg#4r1c,n,"[0.01, 0.54, 0.45]","[1, 54, 45]",1.064883045258098,c,"['contradiction', 'neutral', 'contradiction', 'contradiction', 'neutral']",Indian people dressed in magnificent bright colors conduct a ritual.,Indian people hunting animals,54.0,1.0,45.0,c
459538095.jpg#0r1e,459538095.jpg#0r1e,n,"[0.23, 0.77, 0.0]","[23, 77, 0]",0.7780113035465377,n,"['entailment', 'neutral', 'neutral', 'entailment', 'neutral']","Two men are in an electronics workshop, working on computers or equipment.",The two men are electronics enthusiasts.,77.0,23.0,0.0,e
5615084425.jpg#0r1e,5615084425.jpg#0r1e,n,"[0.41, 0.59, 0.0]","[41, 59, 0]",0.9765004687578241,e,"['entailment', 'neutral', 'neutral', 'entailment', 'entailment']","Three men in a science lab watch one of them hold a burning object, one man on the side is reaching for the ground.",Three men are in a laboratory doing a scientific study.,59.0,41.0,0.0,e
5615084425.jpg#0r1n,5615084425.jpg#0r1n,n,"[0.01, 0.84, 0.15]","[1, 84, 15]",0.6882759652992884,n,"['neutral', 'contradiction', 'neutral', 'neutral', 'contradiction']","Three men in a science lab watch one of them hold a burning object, one man on the side is reaching for the ground.",The men in the science lab are performing a science experiment on fruit flies.,84.0,1.0,15.0,n
2428997777.jpg#2r1n,2428997777.jpg#2r1n,n,"[0.33, 0.67, 0.0]","[33, 67, 0]",0.9149263727797277,e,"['neutral', 'neutral', 'entailment', 'entailment', 'entailment']",Two female workers sit on some steps during work.,Two friends sitting on step at their job.,67.0,33.0,0.0,n
2853682342.jpg#1r1n,2853682342.jpg#1r1n,n,"[0.43, 0.48, 0.09]","[43, 48, 9]",1.3444870947768595,e,"['neutral', 'neutral', 'entailment', 'entailment', 'entailment']","A man in a blue shirt, jumping down a hill in a park.",A man is down a park,48.0,43.0,9.0,n
2843695880.jpg#2r1c,2843695880.jpg#2r1c,c,"[0.02, 0.46, 0.52]","[2, 46, 52]",1.1187890365551307,n,"['contradiction', 'contradiction', 'neutral', 'neutral', 'neutral']",Two boys stand in an ocean as the sun sets.,The boys are surfing,46.0,2.0,52.0,c
6918466589.jpg#0r1n,6918466589.jpg#0r1n,n,"[0.38, 0.61, 0.01]","[38, 61, 1]",1.0318939587528015,n,"['neutral', 'neutral', 'entailment', 'neutral', 'entailment']","A small group of children are standing in a classroom and one of them has a foot in a trashcan, which also has a rope leading out of it.",Some kids in a classroom play a game with a trashcan.,61.0,38.0,1.0,n
4333374998.jpg#4r1n,4333374998.jpg#4r1n,n,"[0.38, 0.61, 0.01]","[38, 61, 1]",1.0318939587528015,n,"['neutral', 'entailment', 'entailment', 'neutral', 'neutral']",A child is looking out of a door.,The door is open.,61.0,38.0,1.0,n
3024172109.jpg#3r1n,3024172109.jpg#3r1n,n,"[0.05, 0.68, 0.27]","[5, 68, 27]",1.1044654273959893,n,"['neutral', 'neutral', 'contradiction', 'neutral', 'contradiction']",A boy in a baseball cap jumps over a flight of stairs.,A guy inside.,68.0,5.0,27.0,n
3457455611.jpg#3r1n,3457455611.jpg#3r1n,n,"[0.02, 0.85, 0.13]","[2, 85, 13]",0.6948167306993362,n,"['neutral', 'contradiction', 'neutral', 'neutral', 'contradiction']",A young boy is sitting in a green tunnel,The boy is wearing a green shirt,85.0,2.0,13.0,n
2705099033.jpg#1r1e,2705099033.jpg#1r1e,e,"[0.69, 0.29, 0.02]","[69, 29, 2]",1.0001598260107922,e,"['entailment', 'entailment', 'neutral', 'neutral', 'entailment']",Four young men sit on the floor close to a television that is showing Elmo from Sesame Street.,Four males are sitting indoors.,29.0,69.0,2.0,e
4654662119.jpg#0r1n,4654662119.jpg#0r1n,n,"[0.08, 0.79, 0.13]","[8, 79, 13]",0.9428122353564714,n,"['neutral', 'contradiction', 'neutral', 'neutral', 'contradiction']",Two boys are holding red kites with water in the background.,An ocean is behind a couple about to fly red kites,79.0,8.0,13.0,n
404491917.jpg#1r1n,404491917.jpg#1r1n,n,"[0.29, 0.61, 0.1]","[29, 61, 10]",1.285099115785632,n,"['neutral', 'neutral', 'entailment', 'entailment', 'neutral']",a man is swimming inside of a pool,the person is in the water playing.,61.0,29.0,10.0,n
3038952914.jpg#4r1e,3038952914.jpg#4r1e,e,"[0.59, 0.41, 0.0]","[59, 41, 0]",0.9765004687578241,n,"['entailment', 'neutral', 'neutral', 'entailment', 'neutral']",a little girl sitting in a seat.,She is in a chair.,41.0,59.0,0.0,e
3255539705.jpg#2r1n,3255539705.jpg#2r1n,n,"[0.29, 0.71, 0.0]","[29, 71, 0]",0.8687212463394046,e,"['neutral', 'entailment', 'neutral', 'entailment', 'entailment']",A teenage girl in winter clothes slides down a decline in a red sled.,A girl is by herself on a sled.,71.0,29.0,0.0,n
5235783452.jpg#3r1n,5235783452.jpg#3r1n,n,"[0.33, 0.67, 0.0]","[33, 67, 0]",0.9149263727797277,n,"['neutral', 'entailment', 'neutral', 'neutral', 'entailment']",A man with a large power drill standing next to his daughter with a vacuum cleaner hose.,The man and girl are doing some home maintenance.,67.0,33.0,0.0,n
4254811316.jpg#0r1n,4254811316.jpg#0r1n,e,"[0.86, 0.13, 0.01]","[86, 13, 1]",0.6362113373725784,e,"['neutral', 'entailment', 'entailment', 'entailment', 'neutral']",Three children dressed in winter clothes are walking through the woods while pushing cargo along.,Three children are dressed in warm winter clothes.,13.0,86.0,1.0,n
4553492074.jpg#4r1n,4553492074.jpg#4r1n,n,"[0.11, 0.82, 0.07]","[11, 82, 7]",0.853611223393761,n,"['neutral', 'entailment', 'neutral', 'neutral', 'entailment']",A man is sitting outside wearing blue pants.,The person is on the ground.,82.0,11.0,7.0,n
3516521516.jpg#2r1n,3516521516.jpg#2r1n,n,"[0.2, 0.72, 0.08]","[20, 72, 8]",1.0971245697587875,e,"['neutral', 'entailment', 'neutral', 'entailment', 'entailment']",Two players are on a wet field and one is on the ground.,There are only two people in the field.,72.0,20.0,8.0,n
2879991421.jpg#3r1c,2879991421.jpg#3r1c,c,"[0.01, 0.41, 0.58]","[1, 41, 58]",1.0496308907073186,c,"['contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral']",Five people are sitting on horses at a rodeo.,Bandits are sitting on horses as they prepare for a robbery.,41.0,1.0,58.0,c
2814952319.jpg#0r1n,2814952319.jpg#0r1n,n,"[0.0, 0.95, 0.05]","[0, 95, 5]",0.2863969571159562,n,"['neutral', 'neutral', 'contradiction', 'contradiction', 'neutral']","Nine women in white robes with hoods walk on plush, green grass.",The women are wearing flip flops.,95.0,0.0,5.0,n
4696331217.jpg#4r1n,4696331217.jpg#4r1n,e,"[0.94, 0.05, 0.01]","[94, 5, 1]",0.3664462644533775,e,"['neutral', 'entailment', 'neutral', 'entailment', 'entailment']",An indian man walks past a temple on his way to pray.,An indian is on his way to worship.,5.0,94.0,1.0,n
86112925.jpg#0r1n,86112925.jpg#0r1n,n,"[0.05, 0.91, 0.04]","[5, 91, 4]",0.5256666624495429,n,"['neutral', 'contradiction', 'neutral', 'entailment', 'neutral']","A woman in a patterned shirt hands a plate of food to another woman in an apron, while two women work in the background.",Upstanding citizens work at a soup kitchen to benefit the hungry.,91.0,5.0,4.0,n
86112925.jpg#0r1e,86112925.jpg#0r1e,e,"[0.62, 0.38, 0.0]","[62, 38, 0]",0.9580420222262997,e,"['entailment', 'entailment', 'neutral', 'contradiction', 'entailment']","A woman in a patterned shirt hands a plate of food to another woman in an apron, while two women work in the background.",Several women collaborate to hand out food.,38.0,62.0,0.0,e
3732563003.jpg#0r1c,3732563003.jpg#0r1c,n,"[0.01, 0.76, 0.23]","[1, 76, 23]",0.8550120296644869,c,"['contradiction', 'contradiction', 'contradiction', 'neutral', 'entailment']","A man with a hat, boots, and brown pants, is playing the violin outside in front of a black structure.",A homeless man has stolen a child's violin in order to fulfill his fantasy of joining the London Symphony Orchestra.,76.0,1.0,23.0,c
812196663.jpg#2r1n,812196663.jpg#2r1n,n,"[0.43, 0.57, 0.0]","[43, 57, 0]",0.9858150371789199,n,"['neutral', 'entailment', 'entailment', 'neutral', 'neutral']",Two kids are standing in the ocean hugging each other.,Two kids enjoy their day at the beach.,57.0,43.0,0.0,n
2119660490.jpg#0r1c,2119660490.jpg#0r1c,n,"[0.01, 0.88, 0.11]","[1, 88, 11]",0.5790188873238004,c,"['contradiction', 'neutral', 'neutral', 'contradiction', 'contradiction']","A brown dog is laying on his side on a beige carpet, with a green object in the foreground.",The dog is dead.,88.0,1.0,11.0,c
2782247529.jpg#0r1n,2782247529.jpg#0r1n,n,"[0.42, 0.57, 0.01]","[42, 57, 1]",1.0543355641337426,n,"['neutral', 'neutral', 'entailment', 'neutral', 'entailment']",A girl in a striped black and white sweater holds on to her friend who is bent over wearing a hooded black sweater and torn blue jeans.,The girl is wearing jeans.,57.0,42.0,1.0,n
3960632488.jpg#0r1c,3960632488.jpg#0r1c,n,"[0.01, 0.86, 0.13]","[1, 86, 13]",0.6362113373725785,c,"['contradiction', 'contradiction', 'neutral', 'contradiction', 'neutral']",A man and a woman sit on a deck under a blue sky that is about to be overtaken by tumultuous clouds.,The man and woman are sitting at home.,86.0,1.0,13.0,c
2789232177.jpg#0r1n,2789232177.jpg#0r1n,n,"[0.03, 0.94, 0.03]","[3, 94, 3]",0.3874449191544763,n,"['neutral', 'contradiction', 'neutral', 'contradiction', 'neutral']","People in a grocery store crowd around to watch a Tv, except one man who walks toward the camera.",The people are watching a soccer game.,94.0,3.0,3.0,n
3958553026.jpg#1r1c,3958553026.jpg#1r1c,c,"[0.01, 0.41, 0.58]","[1, 41, 58]",1.0496308907073186,c,"['contradiction', 'contradiction', 'neutral', 'neutral', 'contradiction']",A boy walking away from two Camden tents with a group of people behind him.,A person building a tent,41.0,1.0,58.0,c
